GEOID10,POP_2010,POP_WHITE,POP_BLACK,POP_NATV,POP_ASN,POP_ISLND,POP_OTHER,POP_MULTI,NOT_HISP,NH_WHITE,NH_BLACK,NH_NATV,NH_ASN,NH_ISLND,NH_OTHER,NH_MULTI,HISP,H_WHITE,H_BLACK,H_NATV,H_ASN,H_ISLND,H_OTHER,H_MULTI
250214033002,1001,931,1,3,51,0,0,15,978,908,1,3,51,0,0,15,23,23,0,0,0,0,0,0
250214033003,2037,1897,25,0,67,1,11,36,1976,1847,25,0,66,1,4,33,61,50,0,0,1,0,7,3
250214034001,1264,1152,9,1,72,0,3,27,1241,1131,9,1,72,0,2,26,23,21,0,0,0,0,1,1
250214034002,1286,1195,7,0,68,0,0,16,1279,1188,7,0,68,0,0,16,7,7,0,0,0,0,0,0
250214034003,1436,1185,71,1,123,0,16,40,1360,1140,58,1,122,0,3,36,76,45,13,0,1,0,13,4
250214034004,716,666,2,1,36,0,0,11,698,648,2,1,36,0,0,11,18,18,0,0,0,0,0,0
250214034005,1786,1612,14,1,121,1,5,32,1750,1583,14,1,120,1,0,31,36,29,0,0,1,0,5,1
250214035001,1648,1423,26,0,164,0,12,23,1620,1406,26,0,164,0,3,21,28,17,0,0,0,0,9,2
250214035002,1520,1260,48,1,158,0,10,43,1473,1227,48,1,156,0,5,36,47,33,0,0,2,0,5,7
250214035003,2516,2259,9,0,179,6,13,50,2458,2211,9,0,179,6,4,49,58,48,0,0,0,0,9,1
250214041001,1945,1456,114,14,289,0,25,47,1832,1375,114,10,288,0,2,43,113,81,0,4,1,0,23,4
250214041002,1145,893,19,0,175,0,7,51,1088,853,19,0,174,0,0,42,57,40,0,0,1,0,7,9
250173744001,1237,1095,13,1,103,0,4,21,1204,1067,13,1,102,0,1,20,33,28,0,0,1,0,3,1
250173744002,849,741,14,0,53,0,5,36,807,719,11,0,51,0,1,25,42,22,3,0,2,0,4,11
250173744003,938,813,5,1,99,0,2,18,911,787,5,0,99,0,2,18,27,26,0,1,0,0,0,0
250173744004,1681,1400,34,0,204,1,4,38,1639,1364,33,0,204,1,3,34,42,36,1,0,0,0,1,4
250173744005,1038,910,21,1,59,0,15,32,1003,893,14,1,59,0,7,29,35,17,7,0,0,0,8,3
250173745001,790,590,68,3,99,0,6,24,762,569,67,1,99,0,3,23,28,21,1,2,0,0,3,1
250173745002,1239,955,54,1,168,0,29,32,1154,909,51,1,168,0,2,23,85,46,3,0,0,0,27,9
250173745003,782,685,8,1,68,0,3,17,766,674,8,0,68,0,0,16,16,11,0,1,0,0,3,1
250173745004,802,649,15,4,101,0,8,25,738,596,13,4,101,0,0,24,64,53,2,0,0,0,8,1
250173745005,726,675,3,1,21,0,6,20,702,659,3,0,21,0,0,19,24,16,0,1,0,0,6,1
